Time,Timestamp,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-03 15:21:47.699,1659511307.6998723,N,84,99,105,13,0,0,0,0,0,0
2022-08-03 15:21:47.715,1659511307.7155766,N,84,99,103,12,0,0,0,0,0,0
2022-08-03 15:21:47.735,1659511307.7351437,N,84,99,100,12,0,0,0,0,0,0
2022-08-03 15:21:47.750,1659511307.750883,N,84,99,95,8,0,0,0,0,0,0
2022-08-03 15:21:47.769,1659511307.7694976,N,84,99,65,8,0,0,0,0,0,0
2022-08-03 15:21:47.787,1659511307.787553,N,84,99,62,7,0,0,0,0,0,0
2022-08-03 15:21:47.804,1659511307.8042195,N,84,99,60,7,0,0,0,0,0,0
2022-08-03 15:21:47.820,1659511307.8204978,N,84,99,58,7,0,0,0,0,0,0
2022-08-03 15:21:47.835,1659511307.8357432,N,84,99,56,6,0,0,0,0,0,0
2022-08-03 15:21:47.853,1659511307.8537545,N,84,99,55,6,0,0,0,0,0,0
2022-08-03 15:21:47.870,1659511307.8700473,N,84,99,53,6,0,0,0,0,0,0
2022-08-03 15:21:47.885,1659511307.8859465,N,84,99,52,6,0,0,0,0,0,0
2022-08-03 15:21:47.901,1659511307.9010174,N,84,99,51,6,0,0,0,0,0,0
2022-08-03 15:21:47.918,1659511307.918108,N,84,99,49,6,0,0,0,0,0,0
2022-08-03 15:21:47.933,1659511307.9330492,N,84,99,48,5,0,0,0,0,0,0
2022-08-03 15:21:47.951,1659511307.9515312,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:47.968,1659511307.9680202,N,84,99,44,5,0,0,0,0,0,0
2022-08-03 15:21:47.983,1659511307.9833546,N,84,99,42,5,0,0,0,0,0,0
2022-08-03 15:21:48.000,1659511308.000602,N,84,99,40,5,0,0,0,0,0,0
2022-08-03 15:21:48.016,1659511308.0165663,N,84,99,38,4,0,0,0,0,0,0
2022-08-03 15:21:48.035,1659511308.0358024,N,84,99,36,4,0,0,0,0,0,0
2022-08-03 15:21:48.052,1659511308.052859,N,84,99,34,4,0,0,0,0,0,0
2022-08-03 15:21:48.070,1659511308.0702925,N,84,99,32,3,0,0,0,0,0,0
2022-08-03 15:21:48.085,1659511308.0858517,N,84,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:48.103,1659511308.1031895,N,84,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:48.118,1659511308.1189497,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:48.141,1659511308.1418893,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.147,1659511308.1477706,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.166,1659511308.1662636,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.182,1659511308.1828604,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.200,1659511308.2004213,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.216,1659511308.216644,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:48.235,1659511308.2350976,N,84,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:48.251,1659511308.2516596,N,84,99,29,3,0,0,0,0,0,0
2022-08-03 15:21:48.263,1659511308.2634406,N,84,99,32,4,0,0,0,0,0,0
2022-08-03 15:21:48.284,1659511308.2843745,N,84,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:48.300,1659511308.3005743,N,84,99,39,5,0,0,0,0,0,0
2022-08-03 15:21:48.318,1659511308.3189719,N,84,99,42,5,0,0,0,0,0,0
2022-08-03 15:21:48.335,1659511308.3354208,N,84,99,44,5,0,0,0,0,0,0
2022-08-03 15:21:48.352,1659511308.3526678,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:48.368,1659511308.3686419,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:48.385,1659511308.385368,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:48.400,1659511308.4003973,N,84,99,49,6,0,0,0,0,0,0
2022-08-03 15:21:48.418,1659511308.4187214,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:48.434,1659511308.4342005,N,84,99,43,5,0,0,0,0,0,0
2022-08-03 15:21:48.450,1659511308.4506798,N,84,99,40,4,0,0,0,0,0,0
2022-08-03 15:21:48.468,1659511308.4686162,N,84,99,38,4,0,0,0,0,0,0
2022-08-03 15:21:48.485,1659511308.4857118,N,84,99,36,4,0,0,0,0,0,0
2022-08-03 15:21:48.500,1659511308.5001905,N,84,99,34,4,0,0,0,0,0,0
2022-08-03 15:21:48.516,1659511308.5161455,N,84,99,33,4,0,0,0,0,0,0
2022-08-03 15:21:48.533,1659511308.5331461,N,84,99,32,3,0,0,0,0,0,0
2022-08-03 15:21:48.551,1659511308.551386,N,84,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:48.568,1659511308.568098,N,84,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:48.585,1659511308.585054,N,84,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:48.602,1659511308.6020188,N,84,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:48.619,1659511308.6190453,N,84,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:48.635,1659511308.635166,N,84,99,24,2,0,0,0,0,0,0
2022-08-03 15:21:48.655,1659511308.6552422,N,84,99,22,2,0,0,0,0,0,0
2022-08-03 15:21:48.665,1659511308.6651864,N,84,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:48.682,1659511308.6821682,N,84,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:48.699,1659511308.6997972,N,84,99,16,1,0,0,0,0,0,0
2022-08-03 15:21:48.717,1659511308.7174156,N,84,99,14,1,0,0,0,0,0,0
2022-08-03 15:21:48.734,1659511308.7341752,N,84,99,12,1,0,0,0,0,0,0
2022-08-03 15:21:48.751,1659511308.751969,N,84,99,11,1,0,0,0,0,0,0
2022-08-03 15:21:48.769,1659511308.7694883,N,84,99,8,0,0,0,0,0,0,0
2022-08-03 15:21:48.787,1659511308.787086,N,84,99,6,0,0,0,0,0,0,0
2022-08-03 15:21:48.801,1659511308.8016949,N,84,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:48.818,1659511308.8188715,N,84,99,1,0,0,0,0,0,0,0
2022-08-03 15:21:48.835,1659511308.8357706,N,84,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:48.852,1659511308.852943,N,84,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:48.869,1659511308.8692343,N,84,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:48.885,1659511308.8858638,N,84,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:48.900,1659511308.9007723,N,84,99,10,1,0,0,0,0,0,0
